start time,end time,FPS,frames,Time(S),max time(ms),waiting time(S),wait times,A,B,C,D,score,TX,app,Surface
254163.871909,254165.039260,24.8,29,1.167,333.558,0,0,3,2,0,7,49.28,0,com.huawei.android.launcher,"com.huawei.android.launcher/com.huawei.android.launcher.unihome.UniHomeLauncher#0"
254166.306626,254168.306658,19.4,23,1.183,450.036,0.817,1,4,1,1,16,41.67,0,com.netease.onmyoji.huawei,"com.netease.onmyoji.huawei/com.netease.onmyoji.Client#0"
254165.923031,254169.906704,51.8,38,0.734,83.341,3.25,2,0,1,0,24,91.62,1,com.netease.onmyoji.huawei,"com.netease.onmyoji.huawei/com.netease.onmyoji.Client#0"
254168.306658,254173.040364,6.6,21,3.2,483.111,1.533,2,11,1,1,19,25.03,0,com.netease.onmyoji.huawei,"com.netease.onmyoji.huawei/com.netease.onmyoji.Client#0"
254171.756935,254172.256900,56,28,0.5,33.375,0,0,0,0,0,1,96,0,com.netease.onmyoji.huawei,"com.huawei.hms.game.welcome#0"
254173.040364,254174.041103,32,32,1.001,50.106,0,0,0,2,0,26,71.56,0,com.netease.onmyoji.huawei,"com.netease.onmyoji.huawei/com.netease.onmyoji.Client#0"
254172.256900,254174.741648,60,30,0.5,16.952,1.984,1,0,0,0,4,100,0,com.netease.onmyoji.huawei,"com.huawei.hms.game.welcome#0"
254174.041103,254176.342594,22.8,40,1.751,316.839,0.55,1,3,3,0,39,47.84,0,com.netease.onmyoji.huawei,"com.netease.onmyoji.huawei/com.netease.onmyoji.Client#0"
254176.342594,254177.375673,30,31,1.033,50.048,0,0,0,2,1,28,69.45,0,com.netease.onmyoji.huawei,"com.netease.onmyoji.huawei/com.netease.onmyoji.Client#0"
254177.375673,254178.426673,25.7,27,1.051,116.743,0,0,1,2,1,23,61.83,0,com.netease.onmyoji.huawei,"com.netease.onmyoji.huawei/com.netease.onmyoji.Client#0"
254178.426673,254182.094722,12.8,25,1.951,266.689,1.717,3,10,4,1,22,35.06,0,com.netease.onmyoji.huawei,"com.netease.onmyoji.huawei/com.netease.onmyoji.Client#0"
